metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1777502938,1.000000,,,,true,::Register — happy path,POST,register,HTTP/1.1,default,,200,,,register,,
http_req_duration,1777502938,144.100300,,,,true,::Register — happy path,POST,register,HTTP/1.1,default,,200,,,register,,
http_req_blocked,1777502938,0.514300,,,,true,::Register — happy path,POST,register,HTTP/1.1,default,,200,,,register,,
http_req_connecting,1777502938,0.000000,,,,true,::Register — happy path,POST,register,HTTP/1.1,default,,200,,,register,,
http_req_tls_handshaking,1777502938,0.000000,,,,true,::Register — happy path,POST,register,HTTP/1.1,default,,200,,,register,,
http_req_sending,1777502938,0.000000,,,,true,::Register — happy path,POST,register,HTTP/1.1,default,,200,,,register,,
http_req_waiting,1777502938,143.364700,,,,true,::Register — happy path,POST,register,HTTP/1.1,default,,200,,,register,,
http_req_receiving,1777502938,0.735600,,,,true,::Register — happy path,POST,register,HTTP/1.1,default,,200,,,register,,
http_req_failed,1777502938,0.000000,,,,true,::Register — happy path,POST,register,HTTP/1.1,default,,200,,,register,,
register_duration,1777502938,144.100300,,,,,::Register — happy path,,,,default,,,,,,,
checks,1777502938,1.000000,register → status 200,,,,::Register — happy path,,,,default,,,,,,,
checks,1777502938,1.000000,register → has token,,,,::Register — happy path,,,,default,,,,,,,
checks,1777502938,1.000000,register → user.id exists,,,,::Register — happy path,,,,default,,,,,,,
checks,1777502938,1.000000,register → user.email matches,,,,::Register — happy path,,,,default,,,,,,,
checks,1777502938,1.000000,register → user.name matches,,,,::Register — happy path,,,,default,,,,,,,
group_duration,1777502938,144.614600,,,,,::Register — happy path,,,,default,,,,,,,
http_reqs,1777502938,1.000000,,,,true,::Login — happy path,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_duration,1777502938,65.328400,,,,true,::Login — happy path,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_blocked,1777502938,0.000000,,,,true,::Login — happy path,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_connecting,1777502938,0.000000,,,,true,::Login — happy path,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_tls_handshaking,1777502938,0.000000,,,,true,::Login — happy path,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_sending,1777502938,0.000000,,,,true,::Login — happy path,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_waiting,1777502938,65.328400,,,,true,::Login — happy path,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_receiving,1777502938,0.000000,,,,true,::Login — happy path,POST,login,HTTP/1.1,default,,200,,,login,,
http_req_failed,1777502938,0.000000,,,,true,::Login — happy path,POST,login,HTTP/1.1,default,,200,,,login,,
login_duration,1777502938,65.328400,,,,,::Login — happy path,,,,default,,,,,,,
checks,1777502938,1.000000,login → status 200,,,,::Login — happy path,,,,default,,,,,,,
checks,1777502938,1.000000,login → has token,,,,::Login — happy path,,,,default,,,,,,,
checks,1777502938,1.000000,login → user.email matches,,,,::Login — happy path,,,,default,,,,,,,
group_duration,1777502938,65.328400,,,,,::Login — happy path,,,,default,,,,,,,
http_reqs,1777502938,1.000000,,,1400,false,::Register — duplicate user,POST,register_dup,HTTP/1.1,default,,400,,,register_dup,,
http_req_duration,1777502938,0.683300,,,1400,false,::Register — duplicate user,POST,register_dup,HTTP/1.1,default,,400,,,register_dup,,
http_req_blocked,1777502938,0.000000,,,1400,false,::Register — duplicate user,POST,register_dup,HTTP/1.1,default,,400,,,register_dup,,
http_req_connecting,1777502938,0.000000,,,1400,false,::Register — duplicate user,POST,register_dup,HTTP/1.1,default,,400,,,register_dup,,
http_req_tls_handshaking,1777502938,0.000000,,,1400,false,::Register — duplicate user,POST,register_dup,HTTP/1.1,default,,400,,,register_dup,,
http_req_sending,1777502938,0.000000,,,1400,false,::Register — duplicate user,POST,register_dup,HTTP/1.1,default,,400,,,register_dup,,
http_req_waiting,1777502938,0.683300,,,1400,false,::Register — duplicate user,POST,register_dup,HTTP/1.1,default,,400,,,register_dup,,
http_req_receiving,1777502938,0.000000,,,1400,false,::Register — duplicate user,POST,register_dup,HTTP/1.1,default,,400,,,register_dup,,
http_req_failed,1777502938,1.000000,,,1400,false,::Register — duplicate user,POST,register_dup,HTTP/1.1,default,,400,,,register_dup,,
checks,1777502938,1.000000,duplicate → status 400,,,,::Register — duplicate user,,,,default,,,,,,,
checks,1777502938,1.000000,duplicate → error msg,,,,::Register — duplicate user,,,,default,,,,,,,
group_duration,1777502938,0.683300,,,,,::Register — duplicate user,,,,default,,,,,,,
vus,1777502938,1.000000,,,,,,,,,,,,,,,,
vus_max,1777502938,1.000000,,,,,,,,,,,,,,,,
http_reqs,1777502939,1.000000,,,1401,false,::Login — wrong password,POST,login_bad,HTTP/1.1,default,,401,,,login_bad,,
http_req_duration,1777502939,64.644700,,,1401,false,::Login — wrong password,POST,login_bad,HTTP/1.1,default,,401,,,login_bad,,
http_req_blocked,1777502939,0.000000,,,1401,false,::Login — wrong password,POST,login_bad,HTTP/1.1,default,,401,,,login_bad,,
http_req_connecting,1777502939,0.000000,,,1401,false,::Login — wrong password,POST,login_bad,HTTP/1.1,default,,401,,,login_bad,,
http_req_tls_handshaking,1777502939,0.000000,,,1401,false,::Login — wrong password,POST,login_bad,HTTP/1.1,default,,401,,,login_bad,,
http_req_sending,1777502939,0.000000,,,1401,false,::Login — wrong password,POST,login_bad,HTTP/1.1,default,,401,,,login_bad,,
http_req_waiting,1777502939,64.143000,,,1401,false,::Login — wrong password,POST,login_bad,HTTP/1.1,default,,401,,,login_bad,,
http_req_receiving,1777502939,0.501700,,,1401,false,::Login — wrong password,POST,login_bad,HTTP/1.1,default,,401,,,login_bad,,
http_req_failed,1777502939,1.000000,,,1401,false,::Login — wrong password,POST,login_bad,HTTP/1.1,default,,401,,,login_bad,,
checks,1777502939,1.000000,wrong password → status 401,,,,::Login — wrong password,,,,default,,,,,,,
checks,1777502939,1.000000,wrong password → error msg,,,,::Login — wrong password,,,,default,,,,,,,
group_duration,1777502939,64.644700,,,,,::Login — wrong password,,,,default,,,,,,,
http_reqs,1777502939,1.000000,,,1401,false,::Login — non-existent user,POST,login_ghost,HTTP/1.1,default,,401,,,login_ghost,,
http_req_duration,1777502939,1.498400,,,1401,false,::Login — non-existent user,POST,login_ghost,HTTP/1.1,default,,401,,,login_ghost,,
http_req_blocked,1777502939,0.000000,,,1401,false,::Login — non-existent user,POST,login_ghost,HTTP/1.1,default,,401,,,login_ghost,,
http_req_connecting,1777502939,0.000000,,,1401,false,::Login — non-existent user,POST,login_ghost,HTTP/1.1,default,,401,,,login_ghost,,
http_req_tls_handshaking,1777502939,0.000000,,,1401,false,::Login — non-existent user,POST,login_ghost,HTTP/1.1,default,,401,,,login_ghost,,
http_req_sending,1777502939,0.000000,,,1401,false,::Login — non-existent user,POST,login_ghost,HTTP/1.1,default,,401,,,login_ghost,,
http_req_waiting,1777502939,1.214500,,,1401,false,::Login — non-existent user,POST,login_ghost,HTTP/1.1,default,,401,,,login_ghost,,
http_req_receiving,1777502939,0.283900,,,1401,false,::Login — non-existent user,POST,login_ghost,HTTP/1.1,default,,401,,,login_ghost,,
http_req_failed,1777502939,1.000000,,,1401,false,::Login — non-existent user,POST,login_ghost,HTTP/1.1,default,,401,,,login_ghost,,
checks,1777502939,1.000000,non-existent → status 401,,,,::Login — non-existent user,,,,default,,,,,,,
group_duration,1777502939,1.498400,,,,,::Login — non-existent user,,,,default,,,,,,,
